workload,model_size,batch,H,W,precision,num_inputs,num_outputs,total_input_bytes,total_output_bytes,weight_bytes,param_count,op_Add,op_Concat,op_Constant,op_Conv,op_GlobalAveragePool,op_Mul,op_Reshape,op_Sigmoid,op_Split,Avg_cpu_mem_MB,Max_cpu_mem_MB
cls,s,2,320,320,fp16,1,1,1228800,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,294.0,528.0
cls,s,2,320,320,fp32,1,1,2457600,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,290.0,532.0
cls,s,2,320,320,int8,1,1,614400,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,284.0,523.0
cls,s,2,480,480,fp16,1,1,2764800,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,367.0,739.0
cls,s,2,480,480,fp32,1,1,5529600,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,365.0,732.0
cls,s,2,480,480,int8,1,1,1382400,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,365.0,736.0
cls,s,2,640,640,fp16,1,1,4915200,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,421.0,980.0
cls,s,2,640,640,fp32,1,1,9830400,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,414.0,964.0
cls,s,2,640,640,int8,1,1,2457600,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,382.0,967.0
cls,s,4,320,320,fp16,1,1,2457600,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,319.0,620.0
cls,s,4,320,320,fp32,1,1,4915200,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,302.0,533.0
cls,s,4,320,320,int8,1,1,1228800,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,283.0,545.0
cls,s,4,480,480,fp16,1,1,5529600,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,344.0,708.0
cls,s,4,480,480,fp32,1,1,11059200,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,334.0,745.0
cls,s,4,480,480,int8,1,1,2764800,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,335.0,698.0
cls,s,4,640,640,fp16,1,1,9830400,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,341.0,955.0
cls,s,4,640,640,fp32,1,1,19660800,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,364.0,955.0
cls,s,4,640,640,int8,1,1,4915200,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,361.0,958.0
cls,s,8,320,320,fp16,1,1,4915200,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,285.0,557.0
cls,s,8,320,320,fp32,1,1,9830400,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,313.0,552.0
cls,s,8,320,320,int8,1,1,2457600,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,316.0,565.0
cls,s,8,480,480,fp16,1,1,11059200,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,302.0,679.0
cls,s,8,480,480,fp32,1,1,22118400,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,306.0,681.0
cls,s,8,480,480,int8,1,1,5529600,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,318.0,778.0
cls,s,8,640,640,fp16,1,1,19660800,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,302.0,592.0
cls,s,8,640,640,fp32,1,1,39321600,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,314.0,603.0
cls,s,8,640,640,int8,1,1,9830400,32000,25424800,6356200,6,4,4,26,1,26,0,26,4,359.0,738.0
det,n,1,320,320,fp16,1,1,614400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,403.0,704.0
det,n,1,320,320,fp32,1,1,1228800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,363.0,702.0
det,n,1,320,320,int8,1,1,307200,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,344.0,704.0
det,n,1,480,480,fp16,1,1,1382400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,368.0,708.0
det,n,1,480,480,fp32,1,1,2764800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,347.0,704.0
det,n,1,480,480,int8,1,1,691200,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,353.0,706.0
det,n,1,640,640,fp16,1,1,2457600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,386.0,723.0
det,n,1,640,640,int8,1,1,1228800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,392.0,717.0
det,n,2,320,320,fp16,1,1,1228800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,333.0,689.0
det,n,2,320,320,fp32,1,1,2457600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,325.0,714.0
det,n,2,320,320,int8,1,1,614400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,330.0,696.0
det,n,2,480,480,fp16,1,1,2764800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,362.0,717.0
det,n,2,480,480,fp32,1,1,5529600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,376.0,724.0
det,n,2,480,480,int8,1,1,1382400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,376.0,713.0
det,n,2,640,640,fp16,1,1,4915200,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,377.0,783.0
det,n,2,640,640,fp32,1,1,9830400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,386.0,810.0
det,n,2,640,640,int8,1,1,2457600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,362.0,719.0
det,n,4,320,320,fp16,1,1,2457600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,351.0,711.0
det,n,4,320,320,fp32,1,1,4915200,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,350.0,716.0
det,n,4,320,320,int8,1,1,1228800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,333.0,719.0
det,n,4,480,480,fp16,1,1,5529600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,361.0,709.0
det,n,4,480,480,fp32,1,1,11059200,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,367.0,813.0
det,n,4,480,480,int8,1,1,2764800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,345.0,701.0
det,n,4,640,640,fp16,1,1,9830400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,354.0,803.0
det,n,4,640,640,fp32,1,1,19660800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,402.0,832.0
det,n,4,640,640,int8,1,1,4915200,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,373.0,811.0
det,n,8,320,320,fp16,1,1,4915200,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,337.0,719.0
det,n,8,320,320,fp32,1,1,9830400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,316.0,685.0
det,n,8,320,320,int8,1,1,2457600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,320.0,707.0
det,n,8,480,480,fp16,1,1,11059200,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,339.0,755.0
det,n,8,480,480,fp32,1,1,22118400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,326.0,737.0
det,n,8,480,480,int8,1,1,5529600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,358.0,817.0
det,n,8,640,640,fp16,1,1,19660800,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,381.0,826.0
det,n,8,640,640,fp32,1,1,39321600,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,355.0,811.0
det,n,8,640,640,int8,1,1,9830400,5644800,12607616,3151904,9,19,22,64,0,60,5,58,9,336.0,735.0
det,s,1,320,320,fp16,1,1,614400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,387.0,712.0
det,s,1,320,320,fp32,1,1,1228800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,349.0,703.0
det,s,1,320,320,int8,1,1,307200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,381.0,714.0
det,s,1,480,480,fp16,1,1,1382400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,368.0,718.0
det,s,1,480,480,fp32,1,1,2764800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,376.0,711.0
det,s,1,480,480,int8,1,1,691200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,424.0,734.0
